cell_name	Symbol
Olfactory ensheathing glia	Mxi1
Cajal-Retzius cell	Cdh4
Oligodendrocyte precursor cell	Sox2ot
Olfactory ensheathing glia	Bmp7
Macrophage	Tnfaip8
Microglial cell	Pros1
Ependymal cell	Ak9
Ependymal cell	Dnah5
Macrophage	Mrc1
Microglial cell	Mertk
Microglial cell	Ptprc
Olfactory ensheathing glia	Grin3a
Microglial cell	Serinc3
Endothelial cell	Vwf
Olfactory ensheathing glia	Afap1l2
Macrophage	Runx1
Macrophage	Wdfy4
Vascular cell	Col1a2
Macrophage	Lyn
Smooth muscle cell	Lama4
Macrophage	Apoe
Macrophage	Adgre1
Cajal-Retzius cell	Msi2
Cajal-Retzius cell	Bbx
Oligodendrocyte precursor cell	Ptprz1
Smooth muscle cell	Egflam
Cajal-Retzius cell	Pdzd2
Macrophage	Dab2
Cajal-Retzius cell	Dscaml1
Bergmann glial cell	Pde3a
Bergmann glial cell	Paqr8
Oligodendrocyte precursor cell	Slc9a9
Ependymal cell	Adamts20
Smooth muscle cell	Nid1
Olfactory ensheathing glia	Col5a2
Smooth muscle cell	Notch3
Oligodendrocyte precursor cell	Chst11
Macrophage	Fli1
Cajal-Retzius cell	Cacna2d2
Oligodendrocyte precursor cell	Sema5b
Microglial cell	Apbb1ip
Ependymal cell	Efhb
Bergmann glial cell	Slc4a4
Smooth muscle cell	Morrbid
Microglial cell	Abca9
Bergmann glial cell	Sh3pxd2b
Smooth muscle cell	Slc38a11
Oligodendrocyte precursor cell	Sox6
Ependymal cell	Spag17
Bergmann glial cell	Prex2
Smooth muscle cell	Lamb1
Ependymal cell	Lmntd1
Olfactory ensheathing glia	Foxo1
Cajal-Retzius cell	Cacna2d1
Endothelial cell	Rassf9
Ependymal cell	Nek11
Microglial cell	Pik3ap1
Olfactory ensheathing glia	Ptpn13
Endothelial cell	Hmcn1
Macrophage	Unc93b1
Ependymal cell	Kif9
Microglial cell	Vav1
Cajal-Retzius cell	Ripor2
Microglial cell	Adgre1
Endothelial cell	Cd93
Bergmann glial cell	Greb1l
Ependymal cell	Spag16
Smooth muscle cell	Atp1a2
Cajal-Retzius cell	Clstn2
Microglial cell	Bmp2k
Smooth muscle cell	Ets1
Olfactory ensheathing glia	Bcar3
Bergmann glial cell	Bmpr1b
Ependymal cell	Cfap43
Ependymal cell	Spata17
Oligodendrocyte precursor cell	Bcas1
Olfactory ensheathing glia	Gm10863
Smooth muscle cell	Pdgfrb
Bergmann glial cell	Tnc
Olfactory ensheathing glia	Tnfrsf19
Bergmann glial cell	Megf10
Olfactory ensheathing glia	Slc27a1
Macrophage	Zfp710
Endothelial cell	Erg
Microglial cell	Tgfbr2
Bergmann glial cell	Gsap
Bergmann glial cell	Usp6nl
Cajal-Retzius cell	Fat3
Olfactory ensheathing glia	Prima1
Endothelial cell	Nos3
Smooth muscle cell	Itga1
Leptomeningeal cell	Col1a2
Smooth muscle cell	Cobll1
Macrophage	Pik3ap1
Endothelial cell	Lama4
Macrophage	Tgfbr2
Endothelial cell	Slc22a8
Oligodendrocyte precursor cell	6030443J06Rik
Endothelial cell	Cgnl1
Oligodendrocyte precursor cell	Itpr2
Ependymal cell	Gm973
Macrophage	Tbxas1
Olfactory ensheathing glia	Denn2b
Cajal-Retzius cell	Smad1
Ependymal cell	Drc3
Olfactory ensheathing glia	Col23a1
Macrophage	Cmah
Cajal-Retzius cell	Gfra1
Smooth muscle cell	Igfbp7
